Tipo Imóvel,Bairro,Dormitorios,Banheiros,Garagens,A. Terreno M²,A. Construída M²,Alarme,Ar Condicionado,Armários,Box Blindex,Cerca Elétrica,Churrasqueira,Cozinha,Escritório,Home Theater,Iluminação,Lavabo,Piscina,Porcelanato,Portão Eletronico,Sala de Estar,Sala de Jantar,Semi Mobiliado,Varanda,Precio
Casa Padrão,Jardim Panorama,1,2,,125.00 ,50.00 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,215000.00
Apartamento Padrão,Centro,1,3,2,165.83 ,127.00 ,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,850000.00
Apartamento Padrão,São Francisco,1,2,,52.94 ,47.69 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,170000.00
Casa Padrão,Jardim Coopagro,2,2,2,250.00 ,120.00 ,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,370000.00
Casa Padrão,São Francisco,1,2,2,125.00 ,61.00 ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,250000.00
Casa Padrão,São Francisco,1,2,2,125.00 ,61.00 ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,250000.00
Casa Sobrado,Jardim Pancera,2,4,3,115.26 ,120.19 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,530000.00
Casa Sobrado,Jardim Concórdia,2,3,3,360.00 ,168.17 ,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,820000.00
Casa Padrão,Jardim Panorama,2,3,,125.00 ,66.00 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,219000.00
Casa Padrão,Jardim Coopagro,1,5,2,490.00 ,167.21 ,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,800000.00
Apartamento Padrão,Jardim Pancera,1,2,,74.70 ,58.00 ,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,335000.00
Apartamento Padrão,Centro,2,3,2,190.00 ,105.98 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,790000.00
Apartamento Padrão,Centro,2,3,2,132.00 ,197.11 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1100000.00
Casa Padrão,Jardim Coopagro,2,3,3,134.09 ,70.00 ,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,350000.00
Casa Padrão,Jardim Coopagro,2,3,3,134.09 ,70.00 ,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,350000.00
Casa Padrão,Jardim Coopagro,2,3,2,125.00 ,65.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,310000.00
Casa Padrão,Jardim Coopagro,2,3,2,125.00 ,65.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,310000.00
Apartamento Padrão,Centro,1,3,2,107.78 ,93.80 ,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,590000.00
Casa Sobrado,Vila Industrial,2,3,2,133.33 ,122.13 ,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,980000.00
Rural Chácara com Casa,Área Rural de Toledo,0,0,0,6476.30 ,80.00 ,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1200000.00
Casa Padrão,Vila Industrial,4,3,4,600.45 ,310.00 ,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,2600000.00
Casa Sobrado,Centro,1,3,,410.00 ,190.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,585000.00
Apartamento Padrão,Jardim Porto Alegre,1,2,2,90.38 ,69.18 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,270000.00
Casa Padrão,Jardim Coopagro,1,2,2,125.00 ,61.28 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,285000.00
Casa Sobrado,Jardim Gisela,2,3,3,166.65 ,128.89 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,745000.00
Casa Sobrado,Jardim Gisela,2,3,3,166.65 ,129.07 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,755000.00
Casa Sobrado,Jardim Porto Alegre,2,3,3,82.50 ,102.85 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,440000.00
Apartamento Padrão,Jardim Gisela,1,2,2,105.50 ,77.76 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,340000.00
Apartamento Padrão,Jardim Gisela,1,2,2,94.65 ,69.39 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,330000.00
Apartamento Padrão,Jardim Gisela,1,2,2,102.95 ,69.39 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,380000.00
Apartamento Padrão,Jardim Gisela,1,2,2,103.31 ,69.39 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,355000.00
Apartamento Padrão,Jardim Gisela,1,2,2,89.96 ,69.39 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,335000.00
Apartamento Padrão,Jardim Gisela,1,2,2,100.81 ,77.76 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,325000.00
Apartamento Padrão,Jardim Porto Alegre,1,2,2,99.61 ,69.18 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,335000.00
Casa Padrão,Jardim Concórdia,2,2,,360.00 ,70.83 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,360000.00
Apartamento Padrão,Jardim Anápolis,1,2,,60.56 ,52.55 ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,230000.00
Casa Padrão,Vila Pioneiro,1,2,,125.00 ,56.71 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,200000.00
Casa Padrão,Vila Pioneiro,1,2,,125.00 ,56.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,200000.00
Casa Sobrado,Vila Pioneiro,2,2,2,304.16 ,100.00 ,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,520000.00
Casa Padrão,Jardim La Salle,4,4,5,476.00 ,308.00 ,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,2900000.00
Casa Padrão,Jardim Coopagro,1,2,,70.62 ,45.24 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,219000.00
Casa Padrão,Jardim Coopagro,1,2,,70.62 ,45.24 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,219000.00
Casa Padrão,Jardim Coopagro,1,2,,108.75 ,46.39 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,239000.00
Terreno Lote,Jardim Santa Clara IV,0,0,0,330.88 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,612000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,602000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,572000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,572000.00
Casa Padrão,São Francisco,1,2,,149.40 ,69.18 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,238000.00
Rural Chácara com Casa,Jardim Pancera,0,0,0,5000.00 ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3700000.00
Casa Padrão,Jardim Pancera,2,2,3,245.00 ,165.26 ,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,950000.00
Apartamento Padrão,Jardim La Salle,2,2,,86.74 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,350000.00
